lr-SGD/backbone,lr-SGD/classifier,lr-SGD/pg3,lr-SGD/pg4,step,train_class_loss_step,train_acc1_step,train_acc5_step,train_contrastive_loss_step,tau,epoch,val_loss,val_acc1,val_acc5,train_class_loss_epoch,train_acc1_epoch,train_acc5_epoch,train_contrastive_loss_epoch
,,,,779,,,,,,3,,,,19.878665924072266,33.51662826538086,81.4493179321289,2.36444354057312
0.2560660171779827,0.2560660171779827,0.2560660171779827,0.2560660171779827,780,,,,,,,,,,,,,
,,,,799,23.66961097717285,23.4375,78.515625,2.2700388431549072,0.9936012029647827,4,,,,,,,
,,,,849,8.47950553894043,38.8671875,92.7734375,2.254703998565674,0.9939919710159302,4,,,,,,,
,,,,899,11.963214874267578,39.0625,85.7421875,2.1862759590148926,0.9943892955780029,4,,,,,,,
,,,,949,10.850042343139648,36.71875,86.328125,2.2142086029052734,0.9947906136512756,4,,,,,,,
,,,,974,,,,,,4,7.731800556182861,42.029998779296875,86.45999908447266,,,,
,,,,974,,,,,,4,,,,13.152276039123535,35.88341522216797,82.7774429321289,2.26273250579834
0.2074025148547641,0.2074025148547641,0.2074025148547641,0.2074025148547641,975,,,,,,,,,,,,,
,,,,999,7.128077507019043,46.6796875,89.0625,2.1379857063293457,0.9951933026313782,5,,,,,,,
,,,,1049,10.166242599487305,32.6171875,83.59375,2.2493834495544434,0.9955946803092957,5,,,,,,,
,,,,1099,4.657448768615723,43.5546875,90.0390625,2.1823508739471436,0.9959922432899475,5,,,,,,,
,,,,1149,6.03993034362793,44.140625,85.9375,2.2077808380126953,0.9963833689689636,5,,,,,,,
,,,,1169,,,,,,5,4.595054626464844,46.53999710083008,92.68000030517578,,,,
,,,,1169,,,,,,5,,,,7.343183994293213,40.46774673461914,85.99759674072266,2.1887173652648926
0.15000000000000055,0.15000000000000055,0.15000000000000055,0.15000000000000055,1170,,,,,,,,,,,,,
,,,,1199,4.04144811630249,43.1640625,92.7734375,2.1770355701446533,0.9967654943466187,6,,,,,,,
,,,,1249,4.901263236999512,44.921875,86.71875,2.1128571033477783,0.9971361756324768,6,,,,,,,
,,,,1299,2.5930140018463135,49.4140625,94.7265625,2.0995326042175293,0.9974930286407471,6,,,,,,,
,,,,1349,2.49114727973938,46.484375,93.1640625,2.1393556594848633,0.9978336691856384,6,,,,,,,
,,,,1364,,,,,,6,2.6361608505249023,54.77000045776367,89.08999633789062,,,,
,,,,1364,,,,,,6,,,,3.8110320568084717,45.52083206176758,89.56830596923828,2.1390371322631836
0.09259748514523682,0.09259748514523682,0.09259748514523682,0.09259748514523682,1365,,,,,,,,,,,,,
,,,,1399,3.4279863834381104,46.6796875,84.765625,2.102815628051758,0.9981560111045837,7,,,,,,,
,,,,1449,1.941706895828247,51.953125,94.140625,2.087465763092041,0.9984577894210815,7,,,,,,,
,,,,1499,2.111133575439453,47.8515625,91.796875,2.1158995628356934,0.9987372159957886,7,,,,,,,
,,,,1549,1.7443618774414062,50.5859375,93.9453125,2.072434425354004,0.998992383480072,7,,,,,,,
,,,,1559,,,,,,7,1.6310672760009766,58.119998931884766,94.68000030517578,,,,
,,,,1559,,,,,,7,,,,2.267676830291748,49.815704345703125,91.68669891357422,2.1103570461273193
0.04393398282201803,0.04393398282201803,0.04393398282201803,0.04393398282201803,1560,,,,,,,,,,,,,
,,,,1599,1.6614283323287964,53.7109375,92.7734375,2.0936803817749023,0.9992216229438782,8,,,,,,,
,,,,1649,1.5084819793701172,56.25,93.75,2.100590944290161,0.9994235038757324,8,,,,,,,
,,,,1699,1.7252318859100342,50.1953125,92.3828125,2.1121034622192383,0.9995967149734497,8,,,,,,,
,,,,1749,1.475594401359558,57.03125,94.7265625,2.089207172393799,0.9997401237487793,8,,,,,,,
,,,,1754,,,,,,8,1.4313727617263794,60.04999923706055,95.75,,,,
,,,,1754,,,,,,8,,,,1.7046273946762085,53.29827880859375,93.0508804321289,2.0885677337646484
0.011418070123307032,0.011418070123307032,0.011418070123307032,0.011418070123307032,1755,,,,,,,,,,,,,
,,,,1799,1.5142602920532227,56.0546875,92.578125,2.026975631713867,0.9998527765274048,9,,,,,,,
,,,,1849,1.756677508354187,51.953125,91.6015625,2.1205310821533203,0.9999339580535889,9,,,,,,,
,,,,1899,1.6429417133331299,53.515625,93.75,2.061713933944702,0.9999831318855286,9,,,,,,,
,,,,1949,1.4082260131835938,58.3984375,94.3359375,2.0857300758361816,1.0,9,,,,,,,
,,,,1949,,,,,,9,1.4032152891159058,60.519996643066406,95.50999450683594,,,,
,,,,1949,,,,,,9,,,,1.5972975492477417,54.012420654296875,93.30328369140625,2.0850446224212646
